english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
"fresh (rested, invigorated)",adjective,ഉന്മേഷമുള്ള / പുതുമയുള്ള,unmēṣamuḷḷa / putumayuḷḷa,,a2
"friendship (general, formal)",noun,സൗഹൃദം / ചങ്ങാത്തം,sauhr̥daṁ / caṅṅāttaṁ,,a2
frog,noun,തവള,tavaḷa,,a2
"full (complete, whole)",adjective,പൂർണ്ണമായ / നിറഞ്ഞ / മുഴുവൻ,pūrṇṇamāya / niṟañña / muḻuvan,,a2
"full (entire, absolute)",adjective,മുഴുവൻ / പൂർണ്ണമായ / സമ്പൂർണ്ണമായ,muḻuvan / pūrṇṇamāya / sampūrṇṇamāya,,a2
fun,adjective,രസകരമായ / വിനോദകരമായ,rasakaramāya / vinōdakaramāya,,a2
fun (enjoyable),adjective,ആസ്വാദ്യകരമായ / രസകരമായ,āsvādyakaramāya / rasakaramāya,,a2
"fun (enjoyment, amusement)",adjective,വിനോദപരമായ / രസകരമായ,vinōdaparamāya / rasakaramāya,,a2
furniture,noun,ഫർണിച്ചർ / ഗൃഹോപകരണങ്ങൾ,pharṇiccar / gr̥hōpakaraṇaṅṅaḷ,,a2
further (additional),adjective,കൂടുതൽ / അധികമായ,kūṭutal / adhikamāya,,a2
further (additionally),adjective,കൂടുതലായ / അധികമായ,kūṭutalāya / adhikamāya,,a2
further (more distant),adjective,കൂടുതൽ ദൂരം / കൂടുതൽ അകലെ / അപ്പുറം,kūṭutal dūraṁ / kūṭutal akale / appuṟaṁ,,a2
future (adjective),adjective,വരാനിരിക്കുന്ന / ഭാവിയിലെ / ഭാവികാലത്തെ,varānirikkunna / bhāviyile / bhāvikālatte,,a2
"future (time, noun)",adjective,ഭാവി / വരുംകാലം / ഭാവികാലം,bhāvi / varuṁkālaṁ / bhāvikālaṁ,,a2
gallery (digital photo collection),noun,ഗാലറി / ചിത്രശേഖരം / ചിത്രശാല,gālaṟi / citraśēkharaṁ / citraśāla,,a2
"gap (difference, disparity)",noun,വ്യത്യാസം / അന്തരം / വിടവ്,vyatyāsaṁ / antaraṁ / viṭav,,a2
gap (time interval),noun,ഇടവേള / ഇടക്കാലം / വിടവ്,iṭavēḷa / iṭakkālaṁ / viṭav,,a2
gas (fuel for vehicle),noun,പെട്രോൾ / ഇന്ധനം / ഗ്യാസ്,peṭrōḷ / indhanaṁ / gyās,,a2
gate,noun,ഗേറ്റ് / കവാടം / വാതിൽ,gēṟṟ / kavāṭaṁ / vātil,,a2
general,adjective,പൊതുവായ / സാധാരണമായ / സാമാന്യമായ,potuvāya / sādhāraṇamāya / sāmānyamāya,,a2
"gift (present, item)",noun,സമ്മാനം / പാരിതോഷികം / കാഴ്ച,sammānaṁ / pāritōṣikaṁ / kāḻca,,a2
"gift (talent, natural ability)",noun,കഴിവ് / വരദാനം / സിദ്ധി,kaḻiv / varadānaṁ / siddhi,,a2
goal (sports score),noun,ഗോൾ,gōḷ,,a2
god (female deity),noun,ദേവി / ഭഗവതി / ഈശ്വരി,dēvi / bhagavati / īśvari,,a2
gold,noun,സ്വർണ്ണം / പൊന്ന് / കനകം,svarṇṇaṁ / ponn / kanakaṁ,,a2
gold (color),adjective,സ്വർണ്ണനിറമുള്ള / പൊൻനിറമുള്ള / സുവർണ്ണനിറമുള്ള,svarṇṇaniṟamuḷḷa / ponniṟamuḷḷa / suvarṇṇaniṟamuḷḷa,,a2
gold (made of the metal),adjective,സ്വർണ്ണനിർമ്മിതമായ / സ്വർണ്ണമുള്ള / പൊന്നുകൊണ്ടുള്ള,svarṇṇanirmmitamāya / svarṇṇamuḷḷa / ponnukoṇṭuḷḷa,,a2
golf,noun,ഗോൾഫ്,gōḷph,,a2
good (benefit or welfare),noun,നന്മ / ഗുണം / ക്ഷേമം,nanma / guṇaṁ / kṣēmaṁ,,a2
good (moral quality),noun,നന്മ / സൽഗുണം / ധാർമ്മികത,nanma / salguṇaṁ / dhārmmikata,,a2
government,noun,സർക്കാർ / ഭരണകൂടം / ഗവൺമെന്റ്,sarkkār / bharaṇakūṭaṁ / gavaṇmenṟ,,a2
grass,noun,പുല്ല് / തൃണം,pull / tr̥ṇaṁ,,a2
grave (burial site),adjective,ശവക്കുഴി / കല്ലറ / ഖബർ,śavakkuḻi / kallaṟa / khabar,,a2
grey (hair due to age),noun,നര / നരച്ച മുടി,nara / naracca muṭi,,a2
"grey (hair, aging)",adjective,നരച്ച / നരവീണ,naracca / naravīṇa,,a2
"ground (field, area)",noun,മൈതാനം / തറ / പ്രദേശം,maitānaṁ / taṟa / pradēśaṁ,,a2
guest,noun,അതിഥി / വിരുന്നുകാരൻ / സന്ദർശകൻ,atithi / virunnukāran / sandarśakan,,a2
"guide (manual, handbook)",noun,കൈപ്പുസ്തകം / മാർഗ്ഗരേഖ / നിർദ്ദേശകപുസ്തകം,kaippustakaṁ / mārggarēkha / nirddēśakapustakaṁ,,a2
guide (person),noun,വഴികാട്ടി / ഗൈഡ് / മാർഗ്ഗദർശി,vaḻikāṭṭi / gaiḍ / mārggadarśi,,a2
gun,noun,തോക്ക്,tōkk,,a2
guys (plural address),noun,കൂട്ടുകാരേ / സുഹൃത്തുക്കളേ / എല്ലാവരും,kūṭṭukārē / suhr̥ttukkaḷē / ellāvaruṁ,,a2
habit,noun,ശീലം / സ്വഭാവം,śīlaṁ / svabhāvaṁ,,a2
"hair (body, fur)",noun,രോമം,rōmaṁ,,a2
half (partially),adverb,പകുതിയായി / ഭാഗികമായി,pakutiyāyi / bhāgikamāyi,,a2
half (quantifier),adverb,പകുതി / അർദ്ധം,pakuti / arddhaṁ,,a2
"hall (entrance passage, vestibule)",noun,ഹാൾ / ഇടനാഴി,hāḷ / iṭanāḻi,,a2
"hall (large assembly room, building)",noun,ഹാൾ / മണ്ഡപം,hāḷ / maṇḍapaṁ,,a2
happily (willingly),adverb,സന്തോഷത്തോടെ / സസന്തോഷം,santōṣattōṭe / sasantōṣaṁ,,a2
"heart (emotions, spirit)",noun,മനസ്സ് / ഉള്ളം,manass / uḷḷaṁ,,a2
heart (organ),noun,ഹൃദയം,hr̥dayaṁ,,a2
heat,noun,ചൂട് / താപം / ഉഷ്ണം,cūṭ / tāpaṁ / uṣṇaṁ,,a2
heavy (in weight or mass),adjective,ഭാരമുള്ള / കനമുള്ള / തൂക്കമുള്ള,bhāramuḷḷa / kanamuḷḷa / tūkkamuḷḷa,,a2
heavy (intense or severe),adjective,കഠിനമായ / തീവ്രമായ / ശക്തമായ,kaṭhinamāya / tīvramāya / śaktamāya,,a2
heavy (rain),adjective,കനത്ത / ശക്തമായ,kanatta / śaktamāya,,a2
"heavy (workload, traffic)",adjective,തിരക്കുള്ള / കനത്ത / കൂടിയ,tirakkuḷḷa / kanatta / kūṭiya,,a2
height (elevation or high place),noun,ഉയരം / ഉന്നതി / പൊക്കം,uyaraṁ / unnati / pokkaṁ,,a2
helpful,adjective,സഹായകമായ / ഉപകാരപ്രദമായ,sahāyakamāya / upakārapradamāya,,a2
hero (brave person),noun,വീരൻ / ധീരൻ / നായകൻ,vīran / dhīran / nāyakan,,a2
hero (movie protagonist),noun,നായകൻ / ഹീറോ / പ്രധാന കഥാപാത്രം,nāyakan / hīṟō / pradhāna kathāpātraṁ,,a2
hers (familiar),pronoun,അവളുടെ / അവളുടേത്,avaḷuṭe / avaḷuṭēt,,a2
"hers (formal, honorific)",pronoun,അവരുടെ / അവരുടേത്,avaruṭe / avaruṭēt,,a2
herself (for emphasis),pronoun,അവൾ തന്നെ / സ്വയം,avaḷ tanne / svayaṁ,,a2
high (altitude),adverb,ഉയരത്തിൽ / ഉയർന്ന്,uyarattil / uyarnn,,a2
high (sound pitch),adverb,ഉച്ചത്തിൽ / ഉയർന്ന സ്വരത്തിൽ,uccattil / uyarnna svarattil,,a2
hill (large),noun,മല / കുന്ന് / ഗിരി,mala / kunn / giri,,a2
"hill (large, mountain)",noun,മല / പർവ്വതം,mala / parvvataṁ,,a2
"hill (small, mound)",noun,കുന്ന് / മൺകൂന / ചെറുകുന്ന്,kunn / maṇkūna / ceṟukunn,,a2
himself (emphatic subject),pronoun,അവൻ തന്നെ / സ്വയം,avan tanne / svayaṁ,,a2
himself (emphatic),pronoun,അവൻ തന്നെ / സ്വയം,avan tanne / svayaṁ,,a2
himself (reflexive object),pronoun,സ്വയം / അവനെത്തന്നെ,svayaṁ / avanettanne,,a2
his (respectful),pronoun,അദ്ദേഹത്തിന്റെ,addēhattinṟe,,a2
"his (respectful, pronoun)",pronoun,അദ്ദേഹത്തിന്റെ,addēhattinṟe,,a2
his (standard),pronoun,അവന്റെ,avanṟe,,a2
"his (standard, pronoun)",pronoun,അവന്റെ,avanṟe,,a2
"history (general, personal record)",noun,ചരിത്രം / പശ്ചാത്തലം,caritraṁ / paścāttalaṁ,,a2
"history (personal record, background)",noun,പശ്ചാത്തലം / ചരിത്രം,paścāttalaṁ / caritraṁ,,a2
hit (blow),noun,അടി / പ്രഹരം,aṭi / praharaṁ,,a2
hit (success),noun,വിജയം / ഹിറ്റ്,vijayaṁ / hiṟṟ,,a2
hockey,noun,ഹോക്കി,hōkki,,a2
hole (pit or large depression),noun,കുഴി / ഗർത്തം,kuḻi / garttaṁ,,a2
hole (pit/large depression),noun,കുഴി / ഗർത്തം,kuḻi / garttaṁ,,a2
hole (puncture or tear),noun,ഓട്ട / ദ്വാരം,ōṭṭa / dvāraṁ,,a2
hole (puncture/tear),noun,ഓട്ട / ദ്വാരം,ōṭṭa / dvāraṁ,,a2
"holiday, time off",noun,അവധി / വിശ്രമദിനം,avadhi / viśramadinaṁ,,a2
home,adjective,വീട്ടിലെ / ഗാർഹികമായ,vīṭṭile / gārhikamāya,,a2
home (adjective),adjective,വീട്ടിലെ / ഗാർഹികമായ,vīṭṭile / gārhikamāya,,a2
hope,noun,പ്രതീക്ഷ / ആശ,pratīkṣa / āśa,,a2
"however (no matter how, to whatever extent)",adverb,എത്രയായാലും,etrayāyāluṁ,,a2
"huge (massive, colossal)",adjective,വലിയ / ഭീമാകാരമായ / അതിബൃഹത്തായ,valiya / bhīmākāramāya / atibr̥hattāya,,a2
"huge (significant, major)",adjective,വലിയ / ഗണ്യമായ / പ്രധാനപ്പെട്ട,valiya / gaṇyamāya / pradhānappeṭṭa,,a2
human (formal),noun,മനുഷ്യൻ / മാനവൻ,manuṣyan / mānavan,,a2
hurt (emotionally wounded),adjective,മനസ്സു മുറിഞ്ഞ / വേദനാജനകമായ,manassu muṟiñña / vēdanājanakamāya,,a2
hurt (physically injured),adjective,മുറിവേറ്റ / പരിക്കേറ്റ,muṟivēṟṟa / parikkēṟṟa,,a2
"husband (formal, respectful)",noun,ഭർത്താവ് / പതി,bharttāv / pati,,a2
"ideal (conceptual, abstract)",adjective,ആദർശപരമായ / ഉത്തമമായ,ādarśaparamāya / uttamamāya,,a2
ill (sick),adjective,അസുഖമുള്ള / രോഗിയായ,asukhamuḷḷa / rōgiyāya,,a2
"illness (disease, medical condition)",noun,രോഗം,rōgaṁ,,a2
illness (sickness),noun,അസുഖം / വ്യാധി,asukhaṁ / vyādhi,,a2
"image (reputation, public perception)",noun,പ്രതിച്ഛായ / സൽപ്പേര്,praticchāya / salppēr,,a2
imaginary (fictional),adjective,സാങ്കൽപ്പികമായ / ഭാവനാത്മകമായ,sāṅkalppikamāya / bhāvanātmakamāya,,a2
immediately (quickly),adverb,ഉടൻ / ഉടനടി / തൽക്ഷണം,uṭan / uṭanaṭi / talkṣaṇaṁ,,a2
impossible,adjective,അസാധ്യമായ,asādhyamāya,,a2
"impossible (intolerable, unreasonable)",adjective,സഹിക്കാനാവാത്ത / അസഹനീയമായ,sahikkānāvātta / asahanīyamāya,,a2
included,adjective,ഉൾപ്പെടുത്തിയ / ചേർത്ത,uḷppeṭuttiya / cērtta,,a2
included (contained),adjective,അടങ്ങിയ / ഉൾക്കൊള്ളുന്ന,aṭaṅṅiya / uḷkkoḷḷunna,,a2
including,preposition,ഉൾപ്പെടെ,uḷppeṭe,,a2
increase,noun,വർദ്ധനവ് / വർദ്ധന / കൂടൽ,varddhanav / varddhana / kūṭal,,a2
incredible (amazing),adjective,അതിശയകരമായ / വിസ്മയകരമായ,atiśayakaramāya / vismayakaramāya,,a2
incredible (difficult to believe),adjective,വിശ്വസിക്കാൻ പ്രയാസമുള്ള / അവിശ്വസനീയമായ,viśvasikkān prayāsamuḷḷa / aviśvasanīyamāya,,a2
independent (self-reliant),adjective,സ്വതന്ത്രമായ / സ്വാശ്രയമായ,svatantramāya / svāśrayamāya,,a2
individual,noun,വ്യക്തി / ആൾ,vyakti / āḷ,,a2
individual (person),noun,വ്യക്തി / ആൾ,vyakti / āḷ,,a2
"individual (personal, distinct)",adjective,വ്യക്തിപരമായ / തനതായ,vyaktiparamāya / tanatāya,,a2
industry (economic sector),noun,വ്യവസായം,vyavasāyaṁ,,a2
informal (casual),adjective,അനൗപചാരികമായ / സാധാരണമായ,anaupacārikamāya / sādhāraṇamāya,,a2
informal (unofficial),adjective,അനൗദ്യോഗികമായ,anaudyōgikamāya,,a2
injury,noun,പരിക്ക് / മുറിവ് / ദോഷം,parikk / muṟiv / dōṣaṁ,,a2
injury (physical or general harm),noun,പരിക്ക് / മുറിവ് / ദോഷം,parikk / muṟiv / dōṣaṁ,,a2
insect,noun,പ്രാണി,prāṇi,,a2
"insect (formal, biological)",noun,പ്രാണി,prāṇi,,a2
inside,preposition,അകത്ത്,akatt,,a2
inside (adverb),adverb,അകത്ത്,akatt,,a2
"inside (location, adverb, preposition)",adjective,അകത്തുള്ള,akattuḷḷa,,a2
"inside (location, position)",noun,അകം / ഉൾഭാഗം,akaṁ / uḷbhāgaṁ,,a2
inside (preposition),preposition,അകത്ത്,akatt,,a2
instead,adverb,പകരം,pakaraṁ,,a2
"instruction (order, guidance)",noun,നിർദ്ദേശം / മാർഗ്ഗനിർദ്ദേശം / ആജ്ഞ,nirddēśaṁ / mārgganirddēśaṁ / ājña,,a2
"instruction (teaching, education)",noun,പഠിപ്പിക്കൽ / ബോധനം / വിദ്യാഭ്യാസം,paṭhippikkal / bōdhanaṁ / vidyābhyāsaṁ,,a2
"instructor (vocational skills, trainer)",noun,പരിശീലകൻ / അദ്ധ്യാപകൻ / ഗുരു,pariśīlakan / addhyāpakan / guru,,a2
instrument (musical),noun,വാദ്യം / സംഗീതോപകരണം,vādyaṁ / saṁgītōpakaraṇaṁ,,a2
"instrument (tool, device)",noun,ഉപകരണം / യന്ത്രം,upakaraṇaṁ / yantraṁ,,a2
intelligent,adjective,ബുദ്ധിമാനായ / മിടുക്കനായ / സമർത്ഥനായ,buddhimānāya / miṭukkanāya / samartthanāya,,a2
international,adjective,അന്താരാഷ്ട്രീയമായ / ആഗോള,antārāṣṭrīyamāya / āgōḷa,,a2
"into (change of state, form)",preposition,-ലേക്ക് / ആയി,-lēkk / āyi,,a2
introduction (acquaintance),noun,പരിചയപ്പെടുത്തൽ,paricayappeṭuttal,,a2
introduction (preliminary section),noun,ആമുഖം / പ്രാരംഭം,āmukhaṁ / prāraṁbhaṁ,,a2
"invention (fabrication, story)",noun,കെട്ടുകഥ / മെനഞ്ഞെടുത്ത കഥ / കെട്ടിച്ചമച്ചത്,keṭṭukatha / menaññeṭutta katha / keṭṭiccamaccat,,a2
invitation (general request to join),noun,ക്ഷണം / ക്ഷണിക്കൽ,kṣaṇaṁ / kṣaṇikkal,,a2
invitation (official document),noun,ക്ഷണക്കത്ത് / ക്ഷണപത്രം,kṣaṇakkatt / kṣaṇapatraṁ,,a2
item (in a list or agenda),noun,ഇനം / വിഷയം / കാര്യപരിപാടി,inaṁ / viṣayaṁ / kāryaparipāṭi,,a2
item (physical object),noun,സാധനം / വസ്തു,sādhanaṁ / vastu,,a2
itself (emphasis),pronoun,സ്വയം / തനിയെ / തന്നെ,svayaṁ / taniye / tanne,,a2
itself (reflexive object),pronoun,സ്വയം / അതിനെത്തന്നെ,svayaṁ / atinettanne,,a2
